passage,label
I had a awful time at the movie. I don't recommend going.,0
"The vacation was FANTASTIC, I loved it!",1
"If you go to this vacation, you're going to have a TERRIBLE time.",0
I had a disappointing time at the concert. I don't recommend going.,0
"The museum was disappointing, I hated it.",0
"The restaurant was FANTASTIC, I loved it!",1
My kids thought the vacation was WONDERFUL!,1
"If you go to this museum, you're going to have a HORRIBLE time.",0
"The museum was very enjoyable, I loved it!",1
My kids thought the museum was disastrous.,0
I had a AMAZING time at the museum! I definitely recommend going!,1
"The restaurant was very unenjoyable, I hated it.",0
"The vacation was amazing, I loved it!",1
My kids thought the museum was DISASTROUS.,0
I had a terrible time at the concert. I don't recommend going.,0
"If you go to this movie, you're going to have a very enjoyable time.",1
"If you go to this museum, you're going to have a AWFUL time.",0
"If you go to this concert, you're going to have a great time.",1
I had a GREAT time at the vacation! I definitely recommend going!,1
I had a TERRIBLE time at the restaurant. I don't recommend going.,0
I had a wonderful time at the concert! I definitely recommend going!,1
My kids thought the movie was excellent!,1
"If you go to this restaurant, you're going to have a AMAZING time.",1
My kids thought the vacation was AMAZING!,1
My kids thought the museum was HORRIBLE.,0
"If you go to this movie, you're going to have a great time.",1
I had a excellent time at the movie! I definitely recommend going!,1
My kids thought the restaurant was great!,1
"The restaurant was horrible, I hated it.",0
I had a AWFUL time at the concert. I don't recommend going.,0
"The restaurant was awful, I hated it.",0
"If you go to this concert, you're going to have a excellent time.",1
My kids thought the restaurant was AMAZING!,1
I had a fantastic time at the museum! I definitely recommend going!,1
My kids thought the vacation was FANTASTIC!,1
My kids thought the movie was TERRIBLE.,0
"If you go to this vacation, you're going to have a horrible time.",0
My kids thought the movie was AWFUL.,0
My kids thought the movie was very unenjoyable.,0
"The movie was disastrous, I hated it.",0
I had a disappointing time at the movie. I don't recommend going.,0
"If you go to this concert, you're going to have a AWFUL time.",0
My kids thought the concert was really fun!,1
I had a fantastic time at the movie! I definitely recommend going!,1
"The concert was very unenjoyable, I hated it.",0
My kids thought the restaurant was excellent!,1
"If you go to this restaurant, you're going to have a amazing time.",1
"The concert was awful, I hated it.",0
"The museum was WONDERFUL, I loved it!",1
"If you go to this concert, you're going to have a AWFUL time.",0
"The vacation was terrible, I hated it.",0
I had a fantastic time at the museum! I definitely recommend going!,1
"If you go to this museum, you're going to have a great time.",1
I had a disappointing time at the museum. I don't recommend going.,0
"If you go to this restaurant, you're going to have a fantastic time.",1
"If you go to this vacation, you're going to have a AMAZING time.",1
"The museum was very enjoyable, I loved it!",1
I had a WONDERFUL time at the concert! I definitely recommend going!,1
I had a great time at the restaurant! I definitely recommend going!,1
"The vacation was wonderful, I loved it!",1
I had a wonderful time at the vacation! I definitely recommend going!,1
My kids thought the museum was TERRIBLE.,0
"If you go to this vacation, you're going to have a terrible time.",0
"The concert was very unenjoyable, I hated it.",0
My kids thought the concert was AMAZING!,1
"If you go to this concert, you're going to have a terrible time.",0
My kids thought the museum was disappointing.,0
"If you go to this vacation, you're going to have a very enjoyable time.",1
"If you go to this vacation, you're going to have a WONDERFUL time.",1
"The concert was excellent, I loved it!",1
"The concert was terrible, I hated it.",0
"If you go to this restaurant, you're going to have a disappointing time.",0
I had a TERRIBLE time at the restaurant. I don't recommend going.,0
My kids thought the museum was awful.,0
My kids thought the vacation was WONDERFUL!,1
My kids thought the concert was TERRIBLE.,0
I had a DISASTROUS time at the movie. I don't recommend going.,0
"The museum was AWFUL, I hated it.",0
"If you go to this museum, you're going to have a terrible time.",0
"The restaurant was fantastic, I loved it!",1
"The museum was TERRIBLE, I hated it.",0
My kids thought the vacation was great!,1
My kids thought the vacation was GREAT!,1
"If you go to this concert, you're going to have a wonderful time.",1
I had a amazing time at the vacation! I definitely recommend going!,1
My kids thought the movie was wonderful!,1
My kids thought the museum was AMAZING!,1
"If you go to this concert, you're going to have a AWFUL time.",0
I had a horrible time at the museum. I don't recommend going.,0
My kids thought the concert was TERRIBLE.,0
I had a HORRIBLE time at the restaurant. I don't recommend going.,0
"The museum was fantastic, I loved it!",1
I had a DISASTROUS time at the restaurant. I don't recommend going.,0
"The vacation was HORRIBLE, I hated it.",0
My kids thought the museum was AWFUL.,0
My kids thought the restaurant was wonderful!,1
My kids thought the museum was wonderful!,1
I had a TERRIBLE time at the vacation. I don't recommend going.,0
"The restaurant was FANTASTIC, I loved it!",1
"If you go to this concert, you're going to have a disastrous time.",0
